Address,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Level,Inlinks,Outlinks,External Outlinks,Hash,Response Time,Last Modified,Redirect URI
https://confluence.atlassian.com/,text/html;charset=UTF-8,302,Found,,0,0,,0,0,,0,,0,,0,,0,,0,,,,20,0,0,724,1,0,,0.329,,https://confluence.atlassian.com/alldoc/atlassian-documentation-32243719.html
https://confluence.atlassian.com/alldoc/atlassian-documentation-32243719.html,text/html;charset=utf-8,200,OK,Atlassian Documentation - Atlassian Documentation,49,414,,0,0,,0,Atlassian Documentation,23,Atlassian Documentation,23,,0,,0,,,,45685,611,1,27,75,48,e678224f9775e8bd989b43ae00287c51,0.331,,
https://confluence.atlassian.com/doc/confluence-documentation-home-135922.html,text/html;charset=utf-8,200,OK,Confluence Documentation Home - Atlassian Documentation,55,485,,0,0,,0,Atlassian Documentation,23,Confluence Documentation Home,29,"Confluence is where you create, organize and discuss work with your team. Learn more or try it for free. ",105,,0,,,https://confluence.atlassian.com/display/DOC/Confluence+Documentation+Home,16377,193,2,27,20,11,9e238ef19dbde79092e4c5d0a9fcc74c,0.284,,
https://confluence.atlassian.com/fisheye/fisheye-documentation-home-298976794.html,text/html;charset=utf-8,200,OK,FishEye Documentation Home - Atlassian Documentation,52,459,,0,0,,0,Atlassian Documentation,23,FishEye Documentation Home,26,,0,Get started,11,,,https://confluence.atlassian.com/display/FISHEYE/FishEye+Documentation+Home,16354,102,2,26,24,11,bb317216eb509ead851f589d7f0520f4,0.936,,
https://confluence.atlassian.com/jiracorecloud/jira-core-documentation-765593058.html,text/html;charset=utf-8,200,OK,JIRA Core documentation - Atlassian Documentation,49,421,,0,0,,0,Atlassian Documentation,23,JIRA Core documentation,23,"JIRA Core is a customizable workflow solution that simplifies any business process such as change management, approvals, asset management and more. Try it here.",160,Getting started,15,,,,12867,127,2,14,9,11,83d4bc4f638918199242932664b9ba6,0.949,,
https://confluence.atlassian.com/crucible/crucible-documentation-home-298977323.html,text/html;charset=utf-8,200,OK,Crucible Documentation Home - Atlassian Documentation,53,460,,0,0,,0,Atlassian Documentation,23,Crucible Documentation Home,27,Get started,11,My team,7,,,https://confluence.atlassian.com/display/CRUCIBLE/Crucible+Documentation+Home,16226,104,2,213,26,10,83d6efd908ce1945fcecb9f2427796ba,0.915,,
https://confluence.atlassian.com/alldoc/sharepoint-connector-for-confluence-documentation-directory-210241995.html,text/html;charset=utf-8,200,OK,SharePoint Connector for Confluence - Documentation Directory - Atlassian Documentation,87,728,,0,0,,0,Atlassian Documentation,23,SharePoint Connector for Confluence - Documentation Directory,61,Online Documentation,20,Latest Versions of Downloadable Documentation,45,,,,33695,564,2,29,45,27,4786cb5bcec226d476715d6dd913d0cd,0.971,,
https://confluence.atlassian.com/display/CRUCIBLE/Crucible+Documentation+Home,text/html;charset=UTF-8,302,Found,,0,0,,0,0,,0,,0,,0,,0,,0,,,,20,0,3,0,1,0,,0.313,,https://confluence.atlassian.com/crucible/crucible-documentation-home-298977323.html
https://confluence.atlassian.com/crucible/transitioning-jira-issues-298977484.html,text/html;charset=utf-8,200,OK,Transitioning JIRA issues - Atlassian Documentation,51,418,,0,0,,0,Atlassian Documentation,23,Transitioning JIRA issues,25,Transitioning any JIRA Software issue at any time,49,Transitioning a linked JIRA Software issue when closing the review,66,,,https://confluence.atlassian.com/display/CRUCIBLE/Transitioning+JIRA+issues,69413,1180,3,220,226,11,8cf72280f8f0d0377a67ea113e72db17,0.382,,
https://confluence.atlassian.com/alldoc/gadgets-documentation-directory-203396320.html,text/html;charset=utf-8,200,OK,Gadgets Documentation Directory - Atlassian Documentation,57,486,,0,0,,0,Atlassian Documentation,23,Gadgets Documentation Directory,31,Online Documentation,20,Latest Versions of Downloadable Documentation,45,,,,29469,475,2,29,38,20,37137e8afebd97dcbf132a83edf42bc1,0.869,,
https://confluence.atlassian.com/crucible/licensing-faq-298977361.html,text/html;charset=utf-8,200,OK,Licensing FAQ - Atlassian Documentation,39,333,,0,0,,0,Atlassian Documentation,23,Licensing FAQ,13,,0,,0,,,https://confluence.atlassian.com/display/CRUCIBLE/Licensing+FAQ,65342,988,4,213,221,11,d2556fca9ef08ad113f309ee7ea82c2f,0.34,,
https://confluence.atlassian.com/adminjiraserver071/administering-jira-applications-7-1-802592159.html,text/html;charset=utf-8,200,OK,Administering JIRA applications 7.1 - Atlassian Documentation,61,498,,0,0,,0,Atlassian Documentation,23,Administering JIRA applications 7.1,35,For JIRA application administrators,35,Getting started,15,,,,16215,196,2,50,18,10,c5dc0cea128eb2744c55a9a33c0a34ce,0.27,,
https://confluence.atlassian.com/crucible/crucible-2-1-changelog-298977385.html,text/html;charset=utf-8,200,OK,Crucible 2.1 Changelog - Atlassian Documentation,48,403,,0,0,,0,Atlassian Documentation,23,Crucible 2.1 Changelog,22,,0,,0,,,https://confluence.atlassian.com/display/CRUCIBLE/Crucible+2.1+Changelog,68806,1117,4,212,218,11,e6d2376f6e4cd2ca0a60aeab009cd0bb,0.402,,
https://confluence.atlassian.com/crucible/crucible-faq-298977342.html,text/html;charset=utf-8,200,OK,Crucible FAQ - Atlassian Documentation,38,323,,0,0,,0,Atlassian Documentation,23,Crucible FAQ,12,,0,,0,,,https://confluence.atlassian.com/display/CRUCIBLE/Crucible+FAQ,69563,1091,4,246,256,12,f5fb6fca271e6ffde8c7b03b9ca2bd7d,0.371,,
https://confluence.atlassian.com/crucible/problems-with-very-long-comments-and-mysql-migration-298977353.html,text/html;charset=utf-8,200,OK,Problems with very long comments and MySQL migration - Atlassian Documentation,78,673,,0,0,,0,Atlassian Documentation,23,Problems with very long comments and MySQL migration,52,,0,,0,,,https://confluence.atlassian.com/display/CRUCIBLE/Problems+with+very+long+comments+and+MySQL+migration,67196,1115,4,212,219,13,9805b72b68ea68bdee6adfa4f83afb81,0.316,,
https://confluence.atlassian.com/login.action?os_destination=/doc/confluence-documentation-home-135922.html,text/html;charset=UTF-8,302,Found,,0,0,,0,0,,0,,0,,0,,0,,0,,,,20,0,3,1,1,0,,0.265,,https://id.atlassian.com/login?application=cac&continue=https%3A%2F%2Fconfluence.atlassian.com%2Fdoc%2Fconfluence-documentation-home-135922.html
https://confluence.atlassian.com/adminjiraserver071/create-edit-or-remove-a-user-802592327.html,text/html;charset=utf-8,200,OK,"Create, edit, or remove a user - Atlassian Documentation",56,454,,0,0,,0,Atlassian Documentation,23,"Create, edit, or remove a user",30,Create users,12,Edit a user,11,,,,112627,3461,3,52,266,11,e0a99bbe06b7286da32235ae3e0023d2,0.421,,
https://confluence.atlassian.com/alldoc/fisheye-documentation-directory-71598772.html,text/html;charset=utf-8,200,OK,FishEye Documentation Directory - Atlassian Documentation,57,483,,0,0,,0,Atlassian Documentation,23,FishEye Documentation Directory,31,,0,,0,,,,45822,597,2,29,63,83,cf237175e38de1a14a507d1b26cc9538,0.611,,
https://confluence.atlassian.com/fisheye/fisheye-upgrade-guide-298976988.html,text/html;charset=utf-8,200,OK,FishEye upgrade guide - Atlassian Documentation,47,400,,0,0,,0,Atlassian Documentation,23,FishEye upgrade guide,21,1. Review the upgrade notes,27,2. Backup your FishEye data,27,,,https://confluence.atlassian.com/display/FISHEYE/FishEye+upgrade+guide,332478,8867,3,83,441,430,b0f8774ad0f06845de9d836d8b7756ed,1.034,,
https://confluence.atlassian.com/crucible/upgrading-from-fisheye-to-crucible-298977393.html,text/html;charset=utf-8,200,OK,Upgrading from FishEye to Crucible - Atlassian Documentation,60,500,,0,0,,0,Atlassian Documentation,23,Upgrading from FishEye to Crucible,34,,0,,0,,,https://confluence.atlassian.com/display/CRUCIBLE/Upgrading+from+FishEye+to+Crucible,67767,1125,4,211,220,14,d2815b75855d68d4f7458f25b53699ca,0.376,,
https://confluence.atlassian.com/jiracorecloud/jira-core-overview-765593059.html,text/html;charset=utf-8,200,OK,JIRA Core overview - Atlassian Documentation,44,374,,0,0,,0,Atlassian Documentation,23,JIRA Core overview,18,Watch videos,12,Browse topics & blogs,21,,,,48785,717,3,8,102,32,e3c4ef7b4c0a0dafe86130cd8b64c4fb,0.392,,
https://confluence.atlassian.com/crucible/how-to-automate-daily-crucible-backups-298977357.html,text/html;charset=utf-8,200,OK,How to Automate Daily Crucible Backups - Atlassian Documentation,64,543,,0,0,,0,Atlassian Documentation,23,How to Automate Daily Crucible Backups,38,,0,,0,,,https://confluence.atlassian.com/display/CRUCIBLE/How+to+Automate+Daily+Crucible+Backups,64951,951,4,210,220,11,e3e3c8e4e27ef3a0fe69ea011d8514bd,0.356,,
